Date,Open,High,Low,Close,Volume,Adj Close
2016-11-09,84.550003,86.230003,84.550003,85.970001,755800,85.970001
2016-11-08,86.269997,86.830002,86.25,86.459999,715300,86.459999
2016-11-07,86.169998,86.739998,86.120003,86.709999,621800,86.709999
2016-11-04,85.550003,85.879997,85.199997,85.349998,600000,85.349998
2016-11-03,85.440002,85.599998,84.650002,84.709999,911000,84.709999
2016-11-02,86.470001,86.800003,85.830002,86.050003,754000,86.050003
2016-11-01,87.709999,87.760002,85.860001,86.300003,746000,86.300003
2016-10-31,87.879997,88.300003,87.690002,87.839996,630300,87.839996
2016-10-28,87.769997,88.43,87.660004,87.889999,453000,87.889999
2016-10-27,88.309998,88.389999,87.629997,87.660004,789200,87.660004
2016-10-26,87.779999,88.370003,87.650002,87.760002,519300,87.760002
2016-10-25,88.150002,88.629997,88.019997,88.309998,683400,88.309998
2016-10-24,89.059998,89.199997,88.199997,88.330002,923200,88.330002
2016-10-21,89.220001,89.379997,88.360001,88.82,2982600,88.82
2016-10-20,86.389999,87.440002,86.199997,87.279999,1148000,87.279999
2016-10-19,87.190002,87.50,86.900002,86.959999,568300,86.959999
2016-10-18,88.169998,88.199997,87.480003,87.660004,1050600,87.660004
2016-10-17,86.440002,86.660004,86.190002,86.349998,587500,86.349998
2016-10-14,86.949997,87.279999,86.07,86.129997,1344400,86.129997
2016-10-13,86.489998,87.519997,86.160004,87.239998,644100,87.239998
2016-10-12,87.610001,87.720001,87.110001,87.220001,904400,87.220001
2016-10-11,89.639999,89.699997,88.540001,88.610001,893700,88.610001
2016-10-10,89.970001,90.230003,89.910004,90.089996,746600,90.089996
2016-10-07,90.480003,90.540001,89.059998,89.57,970300,89.57
2016-10-06,90.82,91.019997,90.639999,90.93,887500,90.93
2016-10-05,91.379997,91.449997,90.849998,90.959999,421200,90.959999
2016-10-04,90.459999,91.120003,90.339996,90.57,560200,90.57
2016-10-03,90.919998,91.309998,90.589996,90.889999,544000,90.889999
2016-09-30,90.010002,91.660004,89.839996,91.410004,1022400,91.410004
2016-09-29,90.959999,91.349998,89.199997,89.540001,950500,89.540001
2016-09-28,91.449997,92.18,90.900002,92.080002,920500,92.080002
2016-09-27,89.760002,91.160004,89.650002,91.059998,726800,91.059998
2016-09-26,90.970001,91.029999,90.50,90.739998,616900,90.739998
2016-09-23,91.760002,91.889999,91.510002,91.540001,724500,91.540001
2016-09-22,92.580002,92.760002,92.190002,92.360001,1821600,92.360001
2016-09-21,89.449997,90.419998,89.160004,90.32,702100,90.32
2016-09-20,89.370003,89.389999,88.849998,89.040001,690100,89.040001
2016-09-19,88.209999,88.480003,87.849998,88.089996,473700,88.089996
2016-09-16,86.93,87.18,86.699997,86.860001,1015900,86.860001
2016-09-15,87.769997,88.809998,87.529999,88.669998,752100,88.669998
2016-09-14,88.129997,88.760002,88.07,88.32,557800,88.32
2016-09-13,88.230003,88.510002,87.690002,88.150002,933600,88.150002
2016-09-12,87.379997,88.809998,87.279999,88.760002,884900,88.760002
2016-09-09,88.639999,88.720001,87.599998,87.639999,1170900,87.639999
2016-09-08,90.379997,90.519997,89.50,89.540001,1047900,89.540001
2016-09-07,90.769997,91.00,90.360001,90.82,607700,90.82
2016-09-06,90.220001,90.50,89.900002,90.400002,503400,90.400002
2016-09-02,89.32,89.809998,89.089996,89.639999,528800,89.639999
2016-09-01,88.279999,88.529999,87.919998,88.470001,599600,88.470001
2016-08-31,87.879997,88.199997,87.599998,87.970001,488300,87.970001
2016-08-30,88.699997,88.989998,88.529999,88.739998,718700,88.739998
2016-08-29,86.669998,87.440002,86.660004,87.199997,722000,87.199997
2016-08-26,87.580002,88.550003,86.879997,87.269997,863900,87.269997
2016-08-25,87.260002,87.540001,87.129997,87.389999,417300,87.389999
2016-08-24,87.650002,87.709999,87.239998,87.360001,383600,87.360001
2016-08-23,87.919998,88.110001,87.610001,87.779999,334300,87.779999
2016-08-22,87.269997,87.650002,87.129997,87.559998,349300,87.559998
2016-08-19,88.370003,88.400002,87.919998,88.18,507600,88.18
2016-08-18,87.82,88.129997,87.68,88.050003,294300,88.050003
2016-08-17,87.599998,88.019997,87.25,87.860001,421800,87.860001
2016-08-16,87.980003,88.25,87.730003,87.739998,698600,87.739998
2016-08-15,87.760002,88.169998,87.690002,88.00,424200,88.00
2016-08-12,88.129997,88.150002,87.379997,87.529999,782100,87.529999
2016-08-11,88.040001,88.139999,87.68,87.720001,1147200,87.720001
2016-08-10,87.860001,87.919998,87.489998,87.669998,808300,87.669998
2016-08-09,86.309998,87.870003,86.279999,87.279999,1272800,87.279999
2016-08-08,85.279999,85.900002,85.279999,85.870003,547400,85.870003
2016-08-05,85.540001,86.269997,85.489998,86.209999,1115300,86.209999
2016-08-04,85.290001,86.129997,85.279999,85.970001,1326200,85.970001
2016-08-03,85.970001,86.18,85.870003,86.150002,734700,86.150002
2016-08-02,86.660004,86.68,86.139999,86.529999,1455600,86.529999
2016-08-01,87.169998,87.620003,87.019997,87.279999,692300,87.279999
2016-07-29,87.559998,87.779999,87.139999,87.389999,1801600,87.389999
2016-07-28,86.82,87.07,86.470001,86.540001,1969400,86.540001
2016-07-27,86.32,86.410004,85.629997,86.150002,1154900,86.150002
2016-07-26,85.349998,85.550003,85.07,85.330002,916800,85.330002
2016-07-25,84.599998,84.790001,84.360001,84.690002,787800,84.690002
2016-07-22,83.940002,84.809998,83.839996,84.449997,1513400,84.449997
2016-07-21,84.419998,84.860001,83.889999,84.199997,2115200,84.199997
2016-07-20,82.980003,83.809998,82.82,83.709999,2905100,83.709999
2016-07-19,79.099998,79.449997,78.709999,79.32,1406600,79.32
2016-07-18,79.099998,79.650002,78.800003,79.589996,1182300,79.589996
2016-07-15,78.690002,78.989998,78.559998,78.970001,702400,78.970001
2016-07-14,79.260002,79.529999,78.949997,79.209999,997400,79.209999
2016-07-13,78.220001,78.669998,78.019997,78.089996,544900,78.089996
2016-07-12,78.43,78.699997,78.050003,78.309998,1122100,78.309998
2016-07-11,77.870003,78.139999,77.730003,78.019997,1417600,78.019997
2016-07-08,76.260002,76.779999,75.919998,76.599998,1438000,76.599998
2016-07-07,74.620003,74.849998,74.379997,74.589996,1220200,74.589996
2016-07-06,73.730003,74.760002,73.330002,74.709999,1131600,74.709999
2016-07-05,74.940002,74.980003,73.940002,74.160004,927100,74.160004
2016-07-01,75.43,75.580002,74.849998,74.970001,440900,74.970001
2016-06-30,74.389999,75.029999,73.800003,75.019997,1007700,75.019997
2016-06-29,75.260002,75.400002,74.550003,75.099998,949600,75.099998
2016-06-28,73.68,74.00,73.059998,73.849998,1078100,73.849998
2016-06-27,72.349998,72.360001,71.389999,72.019997,2168500,72.019997
2016-06-24,74.169998,76.309998,73.919998,73.940002,3748700,73.940002
2016-06-23,80.519997,81.18,79.779999,81.07,1349100,81.07
2016-06-22,80.010002,80.190002,78.800003,78.830002,1132700,78.830002
2016-06-21,79.150002,79.779999,78.879997,79.419998,994700,79.419998
2016-06-20,79.269997,79.300003,78.059998,78.089996,1038400,78.089996
2016-06-17,76.68,77.040001,75.800003,76.900002,1097200,76.900002
2016-06-16,74.860001,76.32,74.43,76.199997,1790100,76.199997
2016-06-15,76.029999,76.470001,75.790001,75.830002,1329300,75.830002
2016-06-14,75.25,76.129997,75.220001,76.110001,2129900,76.110001
2016-06-13,76.730003,77.43,76.690002,76.790001,1493800,76.790001
2016-06-10,78.910004,79.230003,77.940002,78.440002,1258700,78.440002
2016-06-09,80.550003,81.010002,80.550003,80.739998,368500,80.739998
2016-06-08,81.669998,81.730003,81.18,81.519997,425100,81.519997
2016-06-07,81.970001,82.190002,81.809998,81.900002,468100,81.900002
2016-06-06,81.370003,81.540001,81.029999,81.330002,456700,81.330002
2016-06-03,80.870003,81.370003,80.510002,81.169998,560900,81.169998
2016-06-02,80.540001,80.919998,80.25,80.919998,617300,80.919998
2016-06-01,80.970001,81.260002,80.830002,81.209999,772300,81.209999
2016-05-31,81.519997,81.620003,80.82,81.07,1342500,81.07
2016-05-27,81.190002,81.330002,80.760002,81.00,506600,81.00
2016-05-26,81.43,81.540001,80.989998,81.209999,917200,81.209999
2016-05-25,80.550003,80.790001,80.129997,80.510002,2741800,80.510002
2016-05-24,79.110001,79.730003,79.080002,79.550003,855500,79.550003
2016-05-23,78.269997,78.580002,77.900002,77.949997,730600,77.949997
2016-05-20,77.660004,77.959999,77.470001,77.720001,883400,77.720001
2016-05-19,77.110001,77.32,76.550003,76.800003,801000,76.800003
